,dr,df,g,gan
0,0.01754899,0.013161742,0.00093109667,0.013161742
1,0.016809853,0.014708625,0.0008333608,0.014708625
2,0.025470948,0.023348369,0.00079479517,0.023348369
3,0.021854168,0.020488283,0.0008156929,0.020488283
4,0.02076616,0.019727852,0.00079948426,0.019727852
5,0.023165995,0.022200746,0.0007740266,0.022200746
6,0.023397794,0.02256216,0.00079588767,0.02256216
7,0.023261763,0.022534901,0.0008222474,0.022534901
8,0.02332901,0.022680983,0.0007936277,0.022680983
9,0.024655398,0.02434403,0.0007829359,0.02434403
10,0.025922822,0.025333667,0.00077921344,0.025333667
11,0.024965294,0.024445763,0.0007671753,0.024445763
12,0.02433698,0.024156868,0.00075611565,0.024156868
13,0.024090398,0.023660464,0.00075069227,0.023660464
14,0.024714665,0.024302963,0.00074685283,0.024302963
15,0.024201628,0.023829471,0.0007398336,0.023829471
16,0.023550343,0.023204014,0.0007394456,0.023204014
17,0.023024611,0.022704825,0.00073448155,0.022704825
18,0.023020275,0.022717377,0.00073334,0.022717377
19,0.022387002,0.022107165,0.00073312724,0.022107165
20,0.022006998,0.021745011,0.00072813436,0.021745011
21,0.021841519,0.021603698,0.00072710967,0.021603698
22,0.021538569,0.02130461,0.000724512,0.02130461
23,0.02146069,0.02123714,0.0007360507,0.02123714
24,0.02186983,0.021651138,0.0007330787,0.021651138
25,0.02212783,0.021915061,0.00073461595,0.021915061
26,0.021794993,0.021593189,0.00073121313,0.021593189
27,0.021420272,0.021229055,0.000732344,0.021229055
28,0.021667209,0.021480424,0.00072941993,0.021480424
29,0.021656483,0.021476025,0.00072671956,0.021476025
30,0.021409951,0.021237291,0.00072823645,0.021237291
31,0.021092411,0.02092763,0.00072292745,0.02092763
32,0.020832589,0.020674767,0.0007189333,0.020674767
33,0.020581048,0.020429716,0.00071356725,0.020429716
34,0.021076886,0.020926338,0.0007191209,0.020926338
35,0.020967586,0.020821981,0.0007190153,0.020821981
36,0.020913532,0.020772226,0.000719498,0.020772226
37,0.021133136,0.020994112,0.00072018016,0.020994112
38,0.02174664,0.021607457,0.00071744027,0.021607457
39,0.021748455,0.021612724,0.0007181725,0.021612724
40,0.0220937,0.021959173,0.00072425586,0.021959173
41,0.022395968,0.022266015,0.0007255786,0.022266015
42,0.02238897,0.022258896,0.00072588667,0.022258896
43,0.022564135,0.02243665,0.0007234235,0.02243665
44,0.022366928,0.022242691,0.0007294573,0.022242691
45,0.022147465,0.022030445,0.00072696595,0.022030445
46,0.022084463,0.02196704,0.0007258284,0.02196704
47,0.022264171,0.022148453,0.0007261089,0.022148453
48,0.022204593,0.022094522,0.00072831317,0.022094522
49,0.022288233,0.02217686,0.00072955305,0.02217686
50,0.022587163,0.022476459,0.0007292746,0.022476459
51,0.022615045,0.022506319,0.00072914705,0.022506319
52,0.022659197,0.022552317,0.00073067436,0.022552317
53,0.022480026,0.022375956,0.0007312603,0.022375956
54,0.02226598,0.02216478,0.00073146523,0.02216478
55,0.022327513,0.022227999,0.0007302898,0.022227999
56,0.022354279,0.022256235,0.00073288503,0.022256235
57,0.022153582,0.02205892,0.0007317952,0.02205892
58,0.022302669,0.022208182,0.0007294568,0.022208182
59,0.0226549,0.022560587,0.0007264811,0.022560587
60,0.022634182,0.022541562,0.0007255098,0.022541562
61,0.022825098,0.022733064,0.00072492764,0.022733064
62,0.022626856,0.022537695,0.00072575593,0.022537695
63,0.022859475,0.022771293,0.0007241102,0.022771293
64,0.0230624,0.022973731,0.0007219706,0.022973731
65,0.023551723,0.023462513,0.00071988674,0.023462513
66,0.023545133,0.02345728,0.0007250647,0.02345728
67,0.023473643,0.023387343,0.0007232665,0.023387343
68,0.023611927,0.023526382,0.00072247855,0.023526382
69,0.023519961,0.023435961,0.00072540983,0.023435961
70,0.023408549,0.023326132,0.000726307,0.023326132
71,0.023471432,0.023389982,0.0007252794,0.023389982
72,0.023607027,0.023527272,0.00072654744,0.023527272
73,0.023456411,0.023377176,0.0007253189,0.023377176
74,0.02336813,0.023310332,0.0007236881,0.023310332
75,0.023407398,0.023330482,0.00072327576,0.023330482
76,0.023408651,0.023332648,0.000720789,0.023332648
77,0.023394942,0.023319963,0.0007210164,0.023319963
78,0.023168296,0.023094984,0.00072134595,0.023094984
79,0.0232917,0.023218913,0.00072459795,0.023218913
80,0.023141168,0.02306976,0.0007242312,0.02306976
81,0.023462957,0.023391424,0.0007225585,0.023391424
82,0.023371799,0.023301402,0.0007225141,0.023301402
83,0.023183705,0.02311486,0.0007212938,0.02311486
84,0.02341565,0.023346927,0.000722548,0.023346927
85,0.023398472,0.023354674,0.00072170934,0.023354674
86,0.02338139,0.023314696,0.0007216808,0.023314696
87,0.02335648,0.023290696,0.0007195147,0.023290696
88,0.02335913,0.023305882,0.00072068284,0.023305882
89,0.023181371,0.02311969,0.00072075817,0.02311969
90,0.022997137,0.02295471,0.0007207257,0.02295471
91,0.023081021,0.023027401,0.00071913836,0.023027401
92,0.022990288,0.022928648,0.0007196569,0.022928648
93,0.023067495,0.023009026,0.0007231141,0.023009026
94,0.023288941,0.023232894,0.0007237004,0.023232894
95,0.023224512,0.023204492,0.00072494196,0.023204492
96,0.023165014,0.023105308,0.0007247833,0.023105308
97,0.023228573,0.023169316,0.0007246784,0.023169316
98,0.023212064,0.023153447,0.00072360865,0.023153447
99,0.023315089,0.023256801,0.0007240171,0.023256801
